"nivel1","nivel2","label1","label2"
"iea1","iea11","Eficiência Energética","Tecnologias de Eficiência Energética aplicadas à Industria"
"iea1","iea12","Eficiência Energética","Tecnologias de Eficiência Energética aplicada a residências e estabelecimentos comerciais"
"iea1","iea13","Eficiência Energética","Tecnologias de Eficiência Energética aplicadas ao setor de transporte rodoviário"
"iea1","iea14","Eficiência Energética","Outras Tecnologias de Eficiência Energética"
"iea3","iea31","Fontes de Energia Renováveis","Energia solar"
"iea3","iea32","Fontes de Energia Renováveis","Energia Eólica"
"iea3","iea33","Fontes de Energia Renováveis","Energia dos Oceanos"
"iea3","iea34","Fontes de Energia Renováveis","Biocombustíveis"
"iea3","iea35","Fontes de Energia Renováveis","Energia Geotérmica"
"iea3","iea36","Fontes de Energia Renováveis","Hidroeletricidade"
"iea4","iea41","Fissão e Fusão Nuclear","Fissão Nuclear"
"iea4","iea42","Fissão e Fusão Nuclear","Fusão Nuclear"
"iea4","iea49","Fissão e Fusão Nuclear","Outros fusão e fissão não alocados"
"iea5","iea52","Hidrogênio e Células a Combustível","Células a Combustível"
"iea6","iea61","Outras Tecnologias de Geração e Armazenamento de Energia","Outras Tecnologias de Geração"
"iea6","iea63","Outras Tecnologias de Geração e Armazenamento de Energia","Armazenamento de Energia"
